StartDevice,StartPort,EndDevice,EndPort,BandWidth,VlanID,VlanMode
mtvr-panther-10,Ethernet0,mtvr-panther-09,ethernet 1/1,100000,101,Access
mtvr-panther-10,Ethernet4,mtvr-panther-09,ethernet 1/2,100000,102,Access
mtvr-panther-10,Ethernet8,mtvr-panther-09,ethernet 1/3,100000,103,Access
mtvr-panther-10,Ethernet12,mtvr-panther-09,ethernet 1/4,100000,104,Access
mtvr-panther-10,Ethernet16,mtvr-panther-09,ethernet 1/5,100000,105,Access
mtvr-panther-10,Ethernet20,mtvr-panther-09,ethernet 1/6,100000,106,Access
mtvr-panther-10,Ethernet24,mtvr-panther-09,ethernet 1/7,100000,107,Access
mtvr-panther-10,Ethernet28,mtvr-panther-09,ethernet 1/8,100000,108,Access
mtvr-panther-10,Ethernet32,mtvr-panther-09,ethernet 1/9,100000,109,Access
mtvr-panther-10,Ethernet36,mtvr-panther-09,ethernet 1/10,100000,110,Access
mtvr-panther-10,Ethernet40,mtvr-panther-09,ethernet 1/11,100000,111,Access
mtvr-panther-10,Ethernet44,mtvr-panther-09,ethernet 1/12,100000,112,Access
mtvr-panther-10,Ethernet48,mtvr-panther-09,ethernet 1/13,100000,113,Access
mtvr-panther-10,Ethernet52,mtvr-panther-09,ethernet 1/14,100000,114,Access
mtvr-panther-10,Ethernet56,mtvr-panther-09,ethernet 1/15,100000,115,Access
mtvr-panther-10,Ethernet60,mtvr-panther-09,ethernet 1/16,100000,116,Access
mtvr-panther-10,Ethernet64,mtvr-panther-09,ethernet 1/17,100000,117,Access
mtvr-panther-10,Ethernet68,mtvr-panther-09,ethernet 1/18,100000,118,Access
mtvr-panther-10,Ethernet72,mtvr-panther-09,ethernet 1/19,100000,119,Access
mtvr-panther-10,Ethernet76,mtvr-panther-09,ethernet 1/20,100000,120,Access
mtvr-panther-10,Ethernet80,mtvr-panther-09,ethernet 1/21,100000,121,Access
mtvr-panther-10,Ethernet84,mtvr-panther-09,ethernet 1/22,100000,122,Access
mtvr-panther-10,Ethernet88,mtvr-panther-09,ethernet 1/23,100000,123,Access
mtvr-panther-10,Ethernet92,mtvr-panther-09,ethernet 1/24,100000,124,Access
mtvr-panther-10,Ethernet96,mtvr-panther-09,ethernet 1/25/1,50000,125,Access
mtvr-panther-10,Ethernet100,mtvr-panther-09,ethernet 1/25/2,50000,126,Access
mtvr-panther-10,Ethernet104,mtvr-panther-09,ethernet 1/27,100000,127,Access
mtvr-panther-10,Ethernet108,mtvr-panther-09,ethernet 1/28,100000,128,Access
mtvr-panther-10,Ethernet112,mtvr-panther-09,ethernet 1/29,100000,129,Access
mtvr-panther-10,Ethernet116,mtvr-panther-09,ethernet 1/30,100000,130,Access
mtvr-panther-10,Ethernet120,mtvr-panther-09,ethernet 1/31,100000,131,Access
mtvr-panther-10,Ethernet124,mtvr-panther-09,ethernet 1/32,100000,132,Access
mtvr-panther-09,ethernet 1/26,mtvr-r740-01,ens4f0,100000,101-132,Trunk
