StartDevice,StartPort,EndDevice,EndPort,BandWidth,VlanID,VlanMode,AutoNeg
mtvr-bobcat-04,Ethernet0,mtvr-leopard-07,Ethernet0,400000,101,Access,on
mtvr-bobcat-04,Ethernet8,mtvr-leopard-07,Ethernet8,400000,102,Access,on
mtvr-bobcat-04,Ethernet16,mtvr-leopard-07,Ethernet16,400000,103,Access,on
mtvr-bobcat-04,Ethernet24,mtvr-leopard-07,Ethernet24,400000,104,Access,on
mtvr-bobcat-04,Ethernet32,mtvr-leopard-07,Ethernet32,400000,105,Access,on
mtvr-bobcat-04,Ethernet40,mtvr-leopard-07,Ethernet40,400000,106,Access,on
mtvr-bobcat-04,Ethernet48,mtvr-leopard-07,Ethernet48,400000,107,Access,on
mtvr-bobcat-04,Ethernet56,mtvr-leopard-07,Ethernet56,400000,108,Access,on
mtvr-bobcat-04,Ethernet64,mtvr-leopard-07,Ethernet64,400000,109,Access,on
mtvr-bobcat-04,Ethernet72,mtvr-leopard-07,Ethernet72,400000,110,Access,on
mtvr-bobcat-04,Ethernet80,mtvr-leopard-07,Ethernet80,400000,111,Access,on
mtvr-bobcat-04,Ethernet88,mtvr-leopard-07,Ethernet88,400000,112,Access,on
mtvr-bobcat-04,Ethernet96,mtvr-leopard-07,Ethernet96,400000,113,Access,on
mtvr-bobcat-04,Ethernet104,mtvr-leopard-07,Ethernet104,400000,114,Access,on
mtvr-bobcat-04,Ethernet112,mtvr-leopard-07,Ethernet112,400000,115,Access,on
mtvr-bobcat-04,Ethernet120,mtvr-leopard-07,Ethernet120,400000,116,Access,on
mtvr-bobcat-04,Ethernet128,mtvr-leopard-07,Ethernet128,400000,117,Access,on
mtvr-bobcat-04,Ethernet136,mtvr-leopard-07,Ethernet136,400000,118,Access,off
mtvr-bobcat-04,Ethernet144,mtvr-leopard-07,Ethernet144,400000,119,Access,off
mtvr-bobcat-04,Ethernet152,mtvr-leopard-07,Ethernet152,400000,120,Access,on
mtvr-bobcat-04,Ethernet160,mtvr-leopard-07,Ethernet160,400000,121,Access,on
mtvr-bobcat-04,Ethernet168,mtvr-leopard-07,Ethernet168,400000,122,Access,on
mtvr-bobcat-04,Ethernet176,mtvr-leopard-07,Ethernet176,400000,123,Access,on
mtvr-bobcat-04,Ethernet184,mtvr-leopard-07,Ethernet184,400000,124,Access,on
mtvr-bobcat-04,Ethernet192,mtvr-leopard-07,Ethernet192,400000,125,Access,on
mtvr-bobcat-04,Ethernet200,mtvr-leopard-07,Ethernet200,400000,126,Access,on
mtvr-bobcat-04,Ethernet208,mtvr-leopard-07,Ethernet208,400000,127,Access,on
mtvr-bobcat-04,Ethernet216,mtvr-leopard-07,Ethernet216,400000,128,Access,on
mtvr-leopard-07,Ethernet248,mtvr-dl360-04,ens3f0,100000,101-132,Trunk
